"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00751543620790598,9,199,5.87965395157606,"GO:0030308 negative reg. of cell growth "," http://amigo.geneontology.org/amigo/term/GO:0030308"," SEMA4D  ACVRL1  PTPRJ  BMPR2  YY1  TRIM46  RYK  SMARCA4  TP53"
0.010832113510178,9,219,5.34269925280199,"GO:0006282 reg. of DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006282"," BRCA1  SMARCA4  TAF5L  EPC2  SMARCC2  ARID2  YY1  SMCHD1  TFIP11"
0.0118029944809986,11,341,4.19373167155425,"GO:0070588 calcium ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0070588"," CACNA1B  MICU3  CACNA1D  CACNB2  STIM1  SLC8A1  CACNA1E  LETM1  PTK2B  ATP2B2  SESTD1"
0.00652330804291343,14,470,3.87250967117988,"GO:0006816 calcium ion transport "," http://amigo.geneontology.org/amigo/term/GO:0006816"," CACNA1B  MICU3  CACNA1D  CACNB2  STIM1  SLC8A1  CACNA1E  WFS1  LETM1  DNM1L  SPG11  PTK2B  ATP2B2  SESTD1"
0.010832113510178,13,453,3.73084738109573,"GO:0001558 reg. of cell growth "," http://amigo.geneontology.org/amigo/term/GO:0001558"," RPTOR  SEMA4D  ACVRL1  PTPRJ  DSCAM  BMPR2  SYT3  YY1  PTK2B  TRIM46  RYK  SMARCA4  TP53"
0.00189486236367654,19,701,3.52369180391648,"GO:0006325 chromatin organization "," http://amigo.geneontology.org/amigo/term/GO:0006325"," SMARCA4  SMARCC2  BRCA1  SPTY2D1  ARID2  YY1  SMCHD1  EZH2  TP53  WAC  BRD1  PRMT5  ASH1L  TTF2  EPC2  ZNF462  ATAD2  PPM1D  ZBTB7A"
0.010832113510178,14,522,3.48674242424242,"GO:0016049 cell growth "," http://amigo.geneontology.org/amigo/term/GO:0016049"," SPG11  RPTOR  SEMA4D  ACVRL1  PTPRJ  DSCAM  BMPR2  SYT3  YY1  PTK2B  TRIM46  RYK  SMARCA4  TP53"
0.0112009318666447,14,527,3.45366137657409,"GO:0008015 blood circulation "," http://amigo.geneontology.org/amigo/term/GO:0008015"," ERAP1  GRK2  SLC8A1  PTPRJ  DNM1L  KL  BMPR2  ACVRL1  DOCK5  TTN  CACNA1D  CACNB2  MYOF  ATP2B2"
0.00986588344513971,15,572,3.40923990781945,"GO:0051052 reg. of DNA metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0051052"," BRCA1  TFIP11  SMARCA4  TAF5L  EPC2  SMARCC2  ARID2  STN1  TP53  PRMT5  YY1  PTK2B  SMCHD1  ACVRL1  BMPR2"
0.00120531332061608,24,975,3.20013986013986,"GO:0022603 reg. of anatomical structure morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0022603"," PHIP  DVL3  SEMA4D  WARS1  DSCAM  SYT3  PTK2B  ACVRL1  TENM4  TRIM46  RYK  ERAP1  FZD2  MBP  BMPR2  BRCA1  FOXJ2  DNM1L  AGO1  DOCK5  STIM1  SYNE3  FGD6  CELSR3"
0.00566855924703926,24,1173,2.65996279934899,"GO:0051276 chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:0051276"," SMARCA4  SMARCC2  BRCA1  SPTY2D1  TFIP11  ARID2  YY1  SMCHD1  EZH2  STN1  TP53  WAC  BRD1  PRMT5  ASH1L  TTF2  EPC2  ZNF462  ATAD2  SUN1  PPM1D  ZBTB7A  TTN  KIF25"
0.00516845838777354,28,1483,2.45459143014773,"GO:2000026 reg. of multicellular organismal development "," http://amigo.geneontology.org/amigo/term/GO:2000026"," PTHLH  SEMA4D  BRD1  SMARCA4  SMARCC2  ARID2  FOXJ2  WARS1  DSCAM  PRMT5  YY1  EZH2  PTK2B  ACVRL1  TP53  TENM4  TRIM46  RYK  ERAP1  LAMA2  MBP  BMPR2  BRCA1  SPEN  AGO1  KL  STIM1  SLC8A1"
0.0107461552715702,24,1274,2.44908662765806,"GO:0006812 cation transport "," http://amigo.geneontology.org/amigo/term/GO:0006812"," SYT6  SLC25A38  CACNA1B  MICU3  CACNA1D  WNK2  CACNB2  STIM1  KCNG3  SLC8A1  CACNA1E  SYT3  WFS1  PTK2B  LETM1  SLC23A1  DNM1L  SPG11  SLC17A5  SLC38A6  ATP2B2  COX15  ARHGAP1  SESTD1"
0.00636135815062233,36,2239,2.09031020341873,"GO:0048468 cell development "," http://amigo.geneontology.org/amigo/term/GO:0048468"," USH1C  PTHLH  SPG11  LAMC1  MYOF  TMOD3  TENM4  RYK  MAP1A  DSCAM  PCARE  PBX1  SEMA4D  LAMA2  SYT3  BRD1  PRMT5  YY1  OGDH  EZH2  PMP22  PTK2B  TP53  SLC22A14  FBXO38  TRIM46  ZBTB7A  FZD2  MBP  BMPR2  SPEN  DNAH1  DOCK5  TTN  DVL3  SLC8A1"
