"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00076219846479068,3,5,78.0034090909091,"GO:0140444 cytoskeleton-nuclear membrane anchor activity "," http://amigo.geneontology.org/amigo/term/GO:0140444"," SYNE1  SUN1  SYNE3"
0.000479584337692866,4,12,43.3352272727273,"GO:0008331 high voltage-gated calcium channel activity "," http://amigo.geneontology.org/amigo/term/GO:0008331"," CACNA1B  CACNA1E  CACNA1D  CACNB2"
0.000162896291597162,5,19,34.2120215311005,"GO:0008569 minus-end-directed microtubule motor activity "," http://amigo.geneontology.org/amigo/term/GO:0008569"," DNAH9  DNAH5  DNAH11  DNAH1  KIF25"
0.00578235429819401,4,30,17.3340909090909,"GO:0051959 dynein light intermediate chain binding "," http://amigo.geneontology.org/amigo/term/GO:0051959"," DNAH9  DNAH5  DNAH11  DNAH1"
0.00242635607132369,5,45,14.4450757575758,"GO:0001046 core promoter sequence-specific DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0001046"," DRAP1  SMARCA4  TP53  EZH2  AGO1"
0.0112988838980512,4,42,12.3814935064935,"GO:0043175 RNA polymerase core enzyme binding "," http://amigo.geneontology.org/amigo/term/GO:0043175"," WAC  RTF1  AGO1  SPTY2D1"
0.00578235429819401,5,60,10.8338068181818,"GO:0070063 RNA polymerase binding "," http://amigo.geneontology.org/amigo/term/GO:0070063"," WAC  RTF1  BRCA1  AGO1  SPTY2D1"
0.00242635607132369,6,74,10.5410012285012,"GO:0003777 microtubule motor activity "," http://amigo.geneontology.org/amigo/term/GO:0003777"," DNAH9  DNAH5  KIF9  DNAH11  DNAH1  KIF25"
0.00578235429819401,5,62,10.4843291788856,"GO:0001098 basal transcription machinery binding "," http://amigo.geneontology.org/amigo/term/GO:0001098"," WAC  RTF1  AGO1  DRAP1  TP53"
0.00578235429819401,5,62,10.4843291788856,"GO:0001099 basal RNA polymerase II transcription machinery binding "," http://amigo.geneontology.org/amigo/term/GO:0001099"," WAC  RTF1  AGO1  DRAP1  TP53"
0.00076219846479068,8,123,8.45565410199556,"GO:0003774 cytoskeletal motor activity "," http://amigo.geneontology.org/amigo/term/GO:0003774"," DNAH9  DNAH5  KIF9  DNAH11  DNAH1  KIF25  MYO3A  MYO9B"
0.00578235429819401,7,139,6.54704872465664,"GO:0015085 calcium ion transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0015085"," CACNA1B  ATP2B2  SLC8A1  CACNA1E  CACNA1D  CACNB2  LETM1"
0.00652088291231904,15,643,3.03279195532306,"GO:0140657 ATP-dependent activity "," http://amigo.geneontology.org/amigo/term/GO:0140657"," DNAH9  DNAH5  KIF9  DNAH11  DNAH1  ABCC11  KIF25  SMARCA4  ATAD2  ATP2B2  MYO3A  MYO9B  TTF2  TP53  SMCHD1"
0.0112988838980512,15,694,2.80992107676185,"GO:0008324 cation transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0008324"," GRIA3  SLC38A6  SLC25A38  CACNA1B  ATP2B2  KCNG3  SLC8A1  CACNA1E  CACNA1D  CACNB2  LETM1  SLC23A1  PTK2B  COX15  SLC17A5"
0.0112073476955652,18,922,2.53807187931374,"GO:0015075 ion transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0015075"," ABCC11  GRIA3  SLC38A6  SLC25A38  CACNA1B  ATP2B2  KCNG3  SLC8A1  TMC3  CACNA1E  CACNA1D  SLC22A14  CACNB2  LETM1  SLC23A1  PTK2B  COX15  SLC17A5"
0.0150632208315607,19,1053,2.34578153328153,"GO:0008092 cytoskeletal protein binding "," http://amigo.geneontology.org/amigo/term/GO:0008092"," DNM1L  KIF9  KIF25  TMOD3  MAP1A  SYNE3  USH1C  MYO9B  SYNE1  TTN  TPPP3  STIM1  SLC8A1  EPB41L1  MYO3A  CACNB2  STK38L  CACNA1D  BRCA1"
0.00311280254668964,35,2237,2.03406296988662,"GO:0019899 enzyme binding "," http://amigo.geneontology.org/amigo/term/GO:0019899"," CUL1  WAC  RTF1  DOCK5  UBC  FAM83B  PPM1D  LRBA  BRCA1  TNPO3  DNM1L  AGO1  SPG11  WFS1  CNST  MOB4  PTK2B  TP53  RPTOR  DSCAM  ZBTB7A  MBP  MYO9B  SMARCA4  SYNE1  ACVRL1  WARS1  PTPRJ  TTN  DVL3  STIM1  ARHGAP1  BMPR2  SPTY2D1  FGD6"
0.0115126196059478,56,4737,1.53690483044505,"GO:0043169 cation binding "," http://amigo.geneontology.org/amigo/term/GO:0043169"," SYT6  MICU3  ERAP1  STIM1  SYT3  OGDH  GALNT3  TRIM24  TPMT  TP53  TTN  ATP2B2  STK38L  CELSR3  BRCA1  ZFAT  MAST4  MYO9B  BRD1  YY1  ZNF574  ZNF330  P3H3  GTF2H3  GBE1  MOB1A  MOB4  ASH1L  TTF2  TSHZ3  DTNA  MYOF  ACVRL1  ZNF462  CACNA1B  PAMR1  CACNA1D  ZNF221  TRIM46  WDFY3  BSN  LETM1  PPM1D  ZNF24  ZBTB21  ZBTB7A  FGD6  SLC8A1  BRF1  PCLO  CYHR1  ARID2  ZNF398  CACNA1E  BMPR2  NT5M"
